?Date,Timestamp,Bottom Hole Pressure,Tubing Pressure,Casing Pressure,Position,Line Pressure,Gas Meter Cumulative Total,Gas Meter Differential Pressure,Gas Meter Flow Rate,Gas Meter Static Pressure,Gas Meter Temperature,Gas Meter Today's Total,Gas Meter Yesterday's Total
3/21/2023 0:07,1.68E+12,1224.8,818.16,1.69,41.16,544.22,2523773.68,272.31,13621.8,547.16,95.09,63.4,14533.34
3/21/2023 0:17,1.68E+12,1222.64,821.53,0.56,40.96,543.38,2523863.11,273.52,13640.9,546.43,95.16,152.83,14533.34
3/21/2023 0:27,1.68E+12,1222.26,822.09,0,41.12,543.66,2523950.83,270.23,13548.31,545.51,95.15,240.55,14533.34
3/21/2023 0:37,1.68E+12,1224.05,821.81,-0.28,39.48,543.09,2524062.07,267.41,13485.32,546.08,95.17,351.79,14533.34
3/21/2023 0:47,1.68E+12,1225.26,818.16,-0.56,40.61,542.81,2524126.84,269.48,13535.1,545.89,95.11,416.56,14533.34
3/21/2023 0:57,1.68E+12,1224.29,822.38,0.56,39.89,542.53,2524258.6,269.99,13549.6,546.08,95.14,548.33,14533.34
3/21/2023 1:07,1.68E+12,1224,819.28,1.13,39.51,543.66,2524345.19,270.55,13569.21,546.56,95.17,634.91,14533.34
3/21/2023 1:17,1.68E+12,1223.62,821.81,-1.97,40.49,543.66,2524433.92,271.28,13588.84,546.65,95.14,723.64,14533.34
3/21/2023 1:27,1.68E+12,1223.23,820.41,-1.13,40.08,543.94,2524522.34,272.62,13630.23,547.23,95.1,812.06,14533.34
3/21/2023 1:37,1.68E+12,1222.42,817.59,-0.56,39.3,545.63,2524608.83,268.49,13520.69,546.74,95.17,898.56,14533.34
3/21/2023 1:47,1.68E+12,1224.54,819.56,0.28,41.18,545.63,2524697.59,270.62,13583.36,547.5,95.15,987.31,14533.34
3/21/2023 1:57,1.68E+12,1223.32,819.84,0,39.18,544.5,2524785.85,264.74,13428.73,546.81,95.13,1075.58,14533.34
3/21/2023 2:07,1.68E+12,1226.31,821.53,-0.56,39.3,543.94,2524917.68,269.07,13542.46,547.28,95.13,1207.4,14533.34
3/21/2023 2:17,1.68E+12,1224.09,818.72,0,41.18,543.38,2525004.39,272.27,13618.73,547.14,95.19,1294.11,14533.34
3/21/2023 2:27,1.68E+12,1222.61,822.38,0,39.22,543.09,2525092.87,269.07,13540.38,547.24,95.23,1382.59,14533.34
3/21/2023 2:37,1.68E+12,1224.12,823.22,0.84,41.13,543.38,2525180.32,269.66,13439.16,546.69,95.13,1470.04,14533.34
3/21/2023 2:47,1.68E+12,1226.08,818.72,0.56,40.67,543.94,2525267.75,271.21,13584.48,546.49,95.18,1557.47,14533.34
3/21/2023 2:57,1.68E+12,1223.25,818.16,0.56,40.98,545.91,2525356.45,270.56,13576.43,547.02,95.11,1646.17,14533.34
3/21/2023 3:07,1.68E+12,1223.4,819.84,-0.56,41.04,543.66,2525444.82,272.09,13615.86,547.17,95.13,1734.54,14533.34
3/21/2023 3:17,1.68E+12,1222.64,816.75,-0.56,39.14,543.66,2525576.57,270.58,13570.29,546.52,95.12,1866.3,14533.34
3/21/2023 3:27,1.68E+12,1223.51,819.56,-0.84,40.8,543.09,2525663.1,269.06,13535.06,546.71,95.13,1952.82,14533.34
3/21/2023 3:37,1.68E+12,1224.19,817.88,0.28,39.96,544.78,2525751.68,269.79,13553.85,546.75,95.1,2041.4,14533.34
3/21/2023 3:47,1.68E+12,1223.82,817.31,0.84,40.18,543.94,2525840.1,270.61,13568.53,546.29,95.09,2129.82,14533.34
3/21/2023 3:57,1.68E+12,1223.53,822.38,-0.28,39.8,542.81,2525926.72,273.88,13643.3,545.85,95.1,2216.44,14533.34
3/21/2023 4:07,1.68E+12,1222.07,821.25,-1.97,41,543.94,2526015.27,269.08,13534.01,546.51,95.04,2304.99,14533.34
3/21/2023 4:17,1.68E+12,1224.18,818.16,0.56,41.18,544.22,2526103.85,271.78,13600.05,546.43,95.04,2393.57,14533.34
3/21/2023 4:27,1.68E+12,1222.9,817.31,-0.84,39.16,541.97,2526235.51,270.94,13494.29,546.22,95.15,2525.24,14533.34
3/21/2023 4:37,1.68E+12,1224.94,819.28,1.13,41.17,542.81,2526323.21,270.48,13563.48,546.05,95,2612.93,14533.34
3/21/2023 4:47,1.68E+12,1223.59,820.13,0.28,40.01,541.69,2526410.88,270.89,13575.37,546.24,95.05,2700.6,14533.34
3/21/2023 4:57,1.68E+12,1223.35,818.72,-0.28,41.16,542.25,2526499.24,269.61,13541.73,546.15,95.1,2788.96,14533.34
3/21/2023 5:07,1.68E+12,1224,822.38,0.28,39.2,542.81,2526587.07,271.6,13592.93,546.23,95.03,2876.79,14533.34
3/21/2023 5:17,1.68E+12,1223,821.53,-1.41,39.8,542.81,2526674.63,271.41,13587.27,546.11,94.99,2964.35,14533.34
3/21/2023 5:27,1.68E+12,1223.1,817.31,0.28,39.77,541.41,2526762.27,270.19,13535.32,544.29,94.89,3051.99,14533.34
3/21/2023 5:37,1.68E+12,1224.1,821.81,-0.84,39.26,542.25,2526894.89,270.35,13551.66,545.35,94.97,3184.62,14533.34
3/21/2023 5:47,1.68E+12,1223.78,818.72,-0.84,41.06,543.09,2526982.79,274.57,13670.4,546.46,94.95,3272.52,14533.34
3/21/2023 5:57,1.68E+12,1221.48,817.88,-0.84,39.71,541.13,2527069.24,272.09,13595.58,545.5,95.02,3358.96,14533.34
3/21/2023 6:07,1.68E+12,1222.92,824.06,3.09,40,542.25,2527157.86,269.61,13540.79,546.01,95.04,3447.58,14533.34
3/21/2023 6:17,1.68E+12,1223.97,819.84,0.56,40.79,542.53,2527246.59,273.96,13649.39,546.03,94.98,3536.32,14533.34
3/21/2023 6:27,1.68E+12,1221.86,819,1.13,39.5,541.41,2527334.11,267.84,13490.57,545.49,95.02,3623.84,14533.34
3/21/2023 6:37,1.68E+12,1224.93,820.13,0.56,41.15,543.94,2527465.78,270.82,13572.85,546.1,94.98,3755.51,14533.34
3/21/2023 6:47,1.68E+12,1223.33,817.88,0.56,39.16,542.81,2527554.4,267.56,13483.61,545.55,95.06,3844.12,14533.34
3/21/2023 6:57,1.68E+12,1225.06,820.13,0.28,40.98,540.84,2527642.11,272.18,13598.93,545.61,95.06,3931.83,14533.34
3/21/2023 7:07,1.68E+12,1222.81,818.72,0.28,40.21,542.53,2527730.87,271.61,13589.57,545.84,94.94,4020.59,14533.34
3/21/2023 7:17,1.68E+12,1222.99,822.38,0.56,39.66,543.38,2527818.41,271.84,13600.82,546.46,95.11,4108.13,14533.34
3/21/2023 7:27,1.68E+12,1222.76,819,-1.69,40.45,543.66,2527907.96,267.2,13489.92,546.74,95.07,4197.68,14533.34
3/21/2023 7:37,1.68E+12,1224.91,821.25,0,39.18,543.09,2528001.35,271.34,13585.86,546.18,95.03,4291.08,14533.34
3/21/2023 7:47,1.68E+12,1223.04,821.53,-1.13,39.23,544.5,2528081.32,271.66,13602.12,546.89,95.09,4371.04,14533.34
3/21/2023 7:57,1.68E+12,1222.72,824.63,1.41,41.01,542.81,2528213.21,266.8,13483.92,547.07,95.09,4502.94,14533.34
3/21/2023 8:07,1.68E+12,1225,819,1.41,39.46,542.81,2528301.61,269.29,13536.47,546.4,95.14,4591.34,14533.34
3/21/2023 8:17,1.68E+12,1223.98,821.53,1.41,40.82,544.5,2528391.12,269.48,13550.13,547.21,95.25,4680.84,14533.34
3/21/2023 8:27,1.68E+12,1223.71,819,-0.28,40.04,543.66,2528476.89,270.1,13570.41,547.59,95.23,4766.62,14533.34
3/21/2023 8:37,1.68E+12,1223.31,808.88,-0.56,43.05,560.53,2528585.06,267.15,13686.43,563.42,96.07,4874.79,14533.34
3/21/2023 8:47,1.68E+12,1221.05,810,1.69,42.43,561.66,2528654.37,268.84,13732.16,564.04,96.38,4944.09,14533.34
3/21/2023 8:57,1.68E+12,1220.16,814.5,1.97,41.37,563.63,2528743.99,269.43,13765.33,565.71,96.57,5033.71,14533.34
3/21/2023 9:07,1.68E+12,1219.52,812.81,1.13,41.95,563.91,2528877.81,270.5,13796.07,566.04,96.59,5167.53,14533.34
3/21/2023 9:17,1.68E+12,1218.92,817.88,1.41,41.72,563.91,2528975.08,270.04,13771.73,565.86,96.64,5264.8,14533.34
3/21/2023 9:27,1.68E+12,1219.38,813.38,1.69,42.91,563.34,2529056,270.96,13800.24,565.42,96.56,5345.72,14533.34
3/21/2023 9:37,1.68E+12,1218.83,813.94,1.69,42.67,563.63,2529145.57,265.16,13802.74,565.4,96.68,5435.29,14533.34
3/21/2023 9:47,1.68E+12,1218.77,815.06,2.25,43.04,563.63,2529235.09,272.54,13895.85,566.69,96.72,5524.81,14533.34
3/21/2023 9:57,1.68E+12,1216.97,815.34,1.69,41.3,562.5,2529323.12,273.26,13773.24,566.26,96.75,5612.85,14533.34
3/21/2023 10:07,1.68E+12,1219.33,816.19,1.13,41.8,562.78,2529412.3,270.47,13790.81,565.99,96.85,5702.02,14533.34
3/21/2023 10:17,1.68E+12,1218.98,816.47,0.56,41.34,564.75,2529548.45,271.4,13825.77,566.93,96.87,5838.17,14533.34
3/21/2023 10:27,1.68E+12,1218.3,814.22,1.41,41.33,564.75,2529637.74,270.99,13721.12,566.82,96.89,5927.46,14533.34
3/21/2023 10:37,1.68E+12,1220.31,815.34,1.97,41.05,564.19,2529726.85,275.44,13774.68,566.88,96.89,6016.58,14533.34
3/21/2023 10:47,1.68E+12,1219.27,812.25,0.56,41.23,563.63,2529815.13,271.3,13807.09,565.45,96.7,6104.86,14533.34
3/21/2023 10:57,1.68E+12,1218.64,811.41,1.41,41.52,563.63,2529906.05,276.77,13936.69,565.26,96.98,6195.77,14533.34
3/21/2023 11:07,1.68E+12,1216.14,813.66,0.84,42.54,562.78,2529995.26,273.71,13849.3,564.41,97,6284.98,14533.34
3/21/2023 11:17,1.68E+12,1217.81,809.16,1.69,42.22,562.22,2530130.21,273.25,13845.71,563.7,96.92,6419.93,14533.34
3/21/2023 11:27,1.68E+12,1217.88,816.47,1.13,43.1,560.81,2530218.4,275.92,13840.29,563.54,96.97,6508.12,14533.34
3/21/2023 11:37,1.68E+12,1217.76,813.38,0.28,42.8,562.22,2530309.79,275.17,13850.86,564.92,97.03,6599.51,14533.34
3/21/2023 11:47,1.68E+12,1217.76,810,0.28,42.42,561.38,2530399.23,276.73,13924.73,564.37,96.97,6688.95,14533.34
3/21/2023 11:57,1.68E+12,1216.34,814.78,0.28,42.78,562.22,2530487.62,272.88,13819.41,563.7,97.01,6777.34,14533.34
3/21/2023 12:07,1.68E+12,1218.36,811.69,1.13,41.16,561.09,2530579.21,269.69,13748.53,564.4,97.01,6868.93,14533.34
3/21/2023 12:17,1.68E+12,1219.71,811.41,0.84,41.22,562.22,2530668.6,269.56,13750.68,564.84,97.02,6958.32,14533.34
3/21/2023 12:27,1.68E+12,1219.67,811.41,1.13,43.04,563.06,2530756.88,271.45,13802.09,565.08,96.95,7046.6,14533.34
3/21/2023 12:37,1.68E+12,1218.67,813.09,0.28,41.93,561.66,2530893.2,269.49,13734.48,563.65,96.97,7182.92,14533.34
3/21/2023 12:47,1.68E+12,1219.97,814.5,0.56,41.04,562.22,2530982.7,272.97,13818.61,563.41,96.97,7272.42,14533.34
3/21/2023 12:57,1.68E+12,1218.34,809.16,-0.28,42.55,562.78,2531072.24,271.85,13806.23,564.65,96.99,7361.96,14533.34
3/21/2023 13:07,1.68E+12,1218.57,813.94,0.84,43.12,564.19,2531161.73,271.32,13807.25,565.88,97.07,7451.45,14533.34
3/21/2023 13:17,1.68E+12,1218.54,813.38,0.84,41.71,563.06,2531252.16,272.36,13821.84,564.95,97.04,7541.88,14533.34
3/21/2023 13:27,1.68E+12,1218.26,813.38,0.84,42.63,561.94,2531341.45,275.74,13892.58,563.99,97.13,7631.17,14533.34
3/21/2023 13:37,1.68E+12,1216.89,813.94,0.28,42.45,561.94,2531431.56,271.81,13801.3,564.46,97.09,7721.28,14533.34
3/21/2023 13:47,1.68E+12,1218.64,789.19,0.84,42.45,495.56,2531567.62,334.92,14356.18,498.58,95.98,7857.34,14533.34
3/21/2023 13:57,1.68E+12,1208.02,727.03,0.84,50.81,518.91,2531665.87,369.1,15421.84,523.22,97.05,7955.6,14533.34
3/21/2023 14:07,1.68E+12,1188.11,694.13,0.28,60.13,537.19,2531765.53,381.64,15913.5,541.93,100.1,8055.25,14533.34
3/21/2023 14:17,1.68E+12,1179.14,708.47,0,60.67,550.13,2531871.41,403.6,16557.45,555.37,100.6,8161.14,14533.34
3/21/2023 14:27,1.68E+12,1167.6,716.91,0.56,60.9,559.97,2531982.46,400.87,16650.99,564.94,100.58,8272.19,14533.34
3/21/2023 14:37,1.68E+12,1165.94,705.09,-0.84,61.2,540.56,2532087.4,430.55,16953.1,546.46,100.22,8377.12,14533.34
3/21/2023 14:47,1.68E+12,1160.63,723.38,-0.56,59.88,546.47,2532196.08,414.47,16741.18,552.37,99.83,8485.8,14533.34
3/21/2023 14:57,1.68E+12,1164.33,761.06,-1.69,51.68,541.69,2532361.01,378.63,15930.32,546.37,99.47,8650.73,14533.34
3/21/2023 15:07,1.68E+12,1178.79,762.19,-1.41,51.32,511.03,2532469.08,436.77,16668.72,518.65,97.1,8758.8,14533.34
3/21/2023 15:17,1.68E+12,1165.59,750.38,-0.28,52.45,510.19,2532577.49,434.6,16573.17,515.13,96.89,8867.21,14533.34
3/21/2023 15:27,1.68E+12,1167.27,759.09,0.28,52.08,509.06,2532683.9,431.23,16500.89,514.73,97.04,8973.63,14533.34
3/21/2023 15:37,1.68E+12,1168.55,756.28,0.56,52.76,508.78,2532792.5,433.67,16561.37,515.39,96.82,9082.22,14533.34
3/21/2023 15:47,1.68E+12,1167.47,744.75,-0.56,52.32,505.97,2532898.97,432.8,16486.98,512,96.9,9188.69,14533.34
3/21/2023 15:57,1.68E+12,1168.78,751.5,-2.53,52.72,507.38,2533005.34,428.82,16434.02,513.18,96.81,9295.06,14533.34
3/21/2023 16:07,1.68E+12,1169.71,755.72,-1.97,53.35,506.53,2533164.84,430.13,16440.43,512.04,96.76,9454.57,14533.34
3/21/2023 16:17,1.68E+12,1169.59,750.09,-0.56,51.45,507.38,2533272.69,429.63,16439.35,512.54,96.76,9562.42,14533.34
3/21/2023 16:27,1.68E+12,1169.6,748.69,1.13,53.01,508.22,2533378.57,429.78,16452.65,513.14,96.73,9668.29,14533.34
3/21/2023 16:37,1.68E+12,1169.35,748.41,-1.13,52.87,508.22,2533484.6,430.96,16488.17,513.93,96.72,9774.32,14533.34
3/21/2023 16:47,1.68E+12,1168.71,747.84,0.56,51.67,507.94,2533591.77,434.53,16546.39,513.5,96.78,9881.49,14533.34
3/21/2023 16:57,1.68E+12,1167.67,744.75,0.28,52.71,509.34,2533697.7,425.77,16414.96,515.44,96.78,9987.43,14533.34
3/21/2023 17:07,1.68E+12,1170,745.88,0,52.23,509.63,2533804.24,424.12,16389.69,515.82,96.79,10093.96,14533.34
3/21/2023 17:17,1.68E+12,1170.44,750.94,0.56,52.88,508.78,2533963.01,421.61,16333.48,515.22,96.72,10252.73,14533.34
3/21/2023 17:27,1.68E+12,1171.43,752.91,1.41,52.39,509.63,2534069.86,415.05,16211.98,515.4,96.71,10359.59,14533.34
3/21/2023 17:37,1.68E+12,1173.6,749.53,-0.28,51.73,509.06,2534175.34,428.65,16480.37,515.98,96.65,10465.06,14533.34
3/21/2023 17:47,1.68E+12,1168.8,754.03,1.13,51.31,508.5,2534281.17,423.27,16366.39,515.21,96.64,10570.89,14533.34
3/21/2023 17:57,1.68E+12,1170.82,748.69,0.56,52.95,507.09,2534388.39,423.19,16352.75,514.42,96.58,10678.11,14533.34
3/21/2023 18:07,1.68E+12,1171.06,751.5,0,53.2,507.94,2534493.88,421.28,16310.81,514.07,96.58,10783.6,14533.34
3/21/2023 18:17,1.68E+12,1171.8,757.13,2.25,51.3,516.09,2534598.03,415.89,16327.54,521.41,96.65,10887.76,14533.34
3/21/2023 18:27,1.68E+12,1171.49,751.78,1.69,51.31,515.25,2534758.13,418.12,16362.33,520.92,96.65,11047.85,14533.34
3/21/2023 18:37,1.68E+12,1170.86,757.97,0.84,51.55,514.97,2534864.61,417.45,16354.92,521.18,96.59,11154.33,14533.34
3/21/2023 18:47,1.68E+12,1170.99,754.03,1.13,53.24,514.41,2534969.98,412.24,16241.12,520.3,96.55,11259.7,14533.34
3/21/2023 18:57,1.68E+12,1173.01,750.94,1.41,53.29,519.47,2535075.24,416.34,16396.49,525.07,96.62,11364.96,14533.34
3/21/2023 19:07,1.68E+12,1170.23,751.5,1.13,52.77,518.63,2535181.75,407.95,16225.61,524.63,96.69,11471.47,14533.34
3/21/2023 19:18,1.68E+12,1173.27,754.31,1.97,53.59,523.13,2535339.89,409.24,16309.94,528.33,96.72,11629.62,14533.34
3/21/2023 19:27,1.68E+12,1171.76,751.78,1.69,53.62,522,2535391.91,410.12,16315.78,527.63,96.72,11681.63,14533.34
3/21/2023 19:37,1.68E+12,1171.64,751.22,1.41,52.36,520.03,2535552.25,414.48,16383.45,526.57,96.71,11841.97,14533.34
3/21/2023 19:47,1.68E+12,1170.43,750.66,0.84,53.52,519.19,2535656.19,412.36,16317.44,524.96,96.65,11945.91,14533.34
3/21/2023 19:57,1.68E+12,1171.6,750.38,0.28,53.33,519.47,2535761.19,414.59,16368.12,525.43,96.65,12050.92,14533.34
3/21/2023 20:07,1.68E+12,1170.69,747.56,-0.56,54.22,519.19,2535866.59,410.02,16264.17,524.5,96.67,12156.31,14533.34
3/21/2023 20:17,1.68E+12,1172.53,752.91,0,52.43,519.47,2535972.95,410.53,16273.63,524.46,96.66,12262.67,14533.34
3/21/2023 20:27,1.68E+12,1172.36,748.69,-0.56,53.37,519.47,2536077.18,408.46,16232.08,524.32,96.61,12366.9,14533.34
3/21/2023 20:37,1.68E+12,1173.09,747.84,1.13,54.2,518.63,2536183.67,416.22,16377.22,524.08,96.67,12473.4,14533.34
3/21/2023 20:47,1.68E+12,1170.49,751.5,0.56,53.43,520.59,2536342.36,417.3,16417.33,525.16,96.58,12632.08,14533.34
3/21/2023 20:57,1.68E+12,1169.77,747,2.53,52.54,518.63,2536449,410.46,16265.75,523.99,96.6,12738.73,14533.34
3/21/2023 21:07,1.68E+12,1172.46,756.56,1.97,53.04,518.34,2536554.41,423.86,16362.63,524.07,96.56,12844.14,14533.34
3/21/2023 21:17,1.68E+12,1170.73,751.22,1.69,53.84,518.34,2536661.17,413.66,16332.98,524.27,96.55,12950.89,14533.34
3/21/2023 21:27,1.68E+12,1171.25,752.91,0.28,54.11,518.63,2536800.54,415.68,16440.32,524.15,96.58,13090.27,14533.34
3/21/2023 21:37,1.68E+12,1169.33,749.81,2.53,52.52,516.66,2536872.4,414.5,16352.75,523.23,96.5,13162.12,14533.34
3/21/2023 21:47,1.68E+12,1170.88,749.81,0.28,53.12,516.66,2536977.65,411.53,16268.64,522.86,96.56,13267.37,14533.34
3/21/2023 21:57,1.68E+12,1172.37,749.25,2.25,53.45,519.47,2537136.7,411.03,16290.34,524.77,96.55,13426.42,14533.34
3/21/2023 22:07,1.68E+12,1171.97,748.97,0.56,54.02,520.31,2537243.14,403.84,16168.61,526.05,96.67,13532.86,14533.34
3/21/2023 22:17,1.68E+12,1174.15,749.53,1.13,53.79,521.16,2537347.82,414.33,16296.39,526.81,96.62,13637.54,14533.34
3/21/2023 22:27,1.68E+12,1171.85,751.22,1.97,53.67,520.03,2537454.28,410.07,16291.6,525.59,96.67,13744.01,14533.34
3/21/2023 22:37,1.68E+12,1171.93,755.44,1.41,52.38,520.88,2537561.09,416.25,16416.65,526.4,96.61,13850.82,14533.34
3/21/2023 22:47,1.68E+12,1169.69,751.22,1.41,53.93,519.19,2537666.14,409.49,16269.52,525.41,96.62,13955.86,14533.34
3/21/2023 22:57,1.68E+12,1172.31,753.19,0.84,53.9,518.91,2537771.83,409.39,16266.76,525.35,96.62,14061.55,14533.34
3/21/2023 23:07,1.68E+12,1172.35,749.25,-1.41,52.88,519.75,2537933.92,411.29,16291.91,524.65,96.63,14223.64,14533.34
3/21/2023 23:17,1.68E+12,1171.89,752.63,-0.84,54.05,519.47,2538035.66,417.73,16436.74,525.91,96.63,14325.39,14533.34
