Date,Timestamp,Bottom Hole Pressure,Tubing Pressure,Casing Pressure,Position,Line Pressure,Gas Meter Cumulative Total,Gas Meter Differential Pressure,Gas Meter Flow Rate,Gas Meter Static Pressure,Gas Meter Temperature,Gas Meter Today's Total,Gas Meter Yesterday's Total
04/01/23 0:07,1.68E+12,1357.26,767.46,82.41,51.79,569.41,3257678.7,314.15,15878.95,577.63,94.53,81.9,15835.83
04/01/23 0:17,1.68E+12,1351.11,765.23,82.69,51.43,568.48,3257780.06,312.36,15809.68,576.62,94.54,183.26,15835.83
04/01/23 0:27,1.68E+12,1354.38,768.87,82.69,51.51,569.41,3257881.91,311.97,15814.56,577.69,94.59,285.12,15835.83
04/01/23 0:37,1.68E+12,1354.13,767.81,82.69,51.86,569.06,3257984.14,313.22,15842.17,577.35,94.52,387.35,15835.83
04/01/23 0:47,1.68E+12,1352.79,765.59,82.69,52.36,569.18,3258088.46,310.71,15779.94,577.46,94.58,491.67,15835.83
04/01/23 0:57,1.68E+12,1355.73,768.52,82.69,51.46,568.95,3258191.54,311.23,15790.65,577.33,94.6,594.74,15835.83
04/01/23 1:07,1.68E+12,1355.2,766.64,82.41,52.28,570.23,3258293.81,310.22,15781.97,578.42,94.54,697.02,15835.83
04/01/23 1:18,1.68E+12,1355.59,768.05,82.69,52.28,568.83,3258446.1,313.93,15857.97,577.11,94.43,849.3,15835.83
04/01/23 1:27,1.68E+12,1351.96,782.46,82.69,52.28,602.23,3258548.73,281.32,15460.36,610.06,94.69,951.94,15835.83
04/01/23 1:37,1.68E+12,1370.97,995.27,88.03,51.56,974.88,3258595.67,28.32,6302.45,977.74,98.61,998.88,15835.83
04/01/23 1:47,1.68E+12,1856.31,1001.25,87.75,51.9,978.98,3258636.86,31.65,6668.21,981.98,99.76,1040.07,15835.83
04/01/23 1:57,1.68E+12,1835.96,800.98,82.97,52.34,603.52,3258735.6,307.35,16183.52,611.67,94.14,1138.8,15835.83
04/01/23 2:07,1.68E+12,1336.54,978.75,87.75,51.43,942.54,3258784.9,53.27,8478.32,945.89,99.19,1188.11,15835.83
04/01/23 2:17,1.68E+12,1735.94,808.83,83.81,51.54,593.2,3258873.41,346.14,17013.47,601.78,94.17,1276.61,15835.83
04/01/23 2:27,1.68E+12,1298.34,804.96,84.94,51.65,589.22,3259036.75,354.42,17165.23,598.47,94.05,1439.96,15835.83
04/01/23 2:37,1.68E+12,1291.51,802.73,86.63,51.77,593.44,3259149.2,343.49,16955.15,602.16,94.16,1552.41,15835.83
