,Choke_x,Choke_y,Gas Flow Rate_x,Gas Flow Rate_y,Total
0,0,0,0,0,0
1,0,1,0,546.1933186,546.1933186
2,0,2,0,1212.54223,1212.54223
3,0,3,0,1858.875953,1858.875953
4,0,4,0,2485.515872,2485.515872
5,0,5,0,3092.783371,3092.783371
6,0,6,0,3680.999836,3680.999836
7,0,7,0,4250.486652,4250.486652
8,0,8,0,4801.565203,4801.565203
9,0,9,0,5334.556875,5334.556875
10,0,10,0,5849.783051,5849.783051
11,0,11,0,6347.565118,6347.565118
12,0,12,0,6828.22446,6828.22446
13,0,13,0,7292.082462,7292.082462
14,0,14,0,7739.460509,7739.460509
15,0,15,0,8170.679985,8170.679985
16,0,16,0,8586.062277,8586.062277
17,0,17,0,8985.928767,8985.928767
18,0,18,0,9370.600843,9370.600843
19,0,19,0,9740.399887,9740.399887
20,0,20,0,10095.64729,10095.64729
21,0,21,0,10436.66442,10436.66442
22,0,22,0,10763.77269,10763.77269
23,0,23,0,11077.29346,11077.29346
24,0,24,0,11377.54812,11377.54812
25,0,25,0,11664.85806,11664.85806
26,0,26,0,11939.54467,11939.54467
27,0,27,0,12201.92933,12201.92933
28,0,28,0,12452.33342,12452.33342
29,0,29,0,12691.07832,12691.07832
30,0,30,0,12918.48543,12918.48543
31,0,31,0,13134.87613,13134.87613
32,0,32,0,13340.57181,13340.57181
33,0,33,0,13535.89384,13535.89384
34,0,34,0,13721.16361,13721.16361
35,0,35,0,13896.70251,13896.70251
36,0,36,0,14062.83192,14062.83192
37,0,37,0,14219.87323,14219.87323
38,0,38,0,14368.14782,14368.14782
39,0,39,0,14507.97708,14507.97708
40,0,40,0,14639.6824,14639.6824
41,0,41,0,14763.58515,14763.58515
42,0,42,0,14880.00672,14880.00672
43,0,43,0,14989.2685,14989.2685
44,0,44,0,15091.69187,15091.69187
45,0,45,0,15187.59821,15187.59821
46,0,46,0,15277.30892,15277.30892
47,0,47,0,15361.14538,15361.14538
48,0,48,0,15439.42896,15439.42896
49,0,49,0,15512.48107,15512.48107
50,0,50,0,15580.62307,15580.62307
51,0,51,0,15644.17636,15644.17636
52,0,52,0,15703.46232,15703.46232
53,0,53,0,15758.80234,15758.80234
54,0,54,0,15810.5178,15810.5178
55,0,55,0,15858.93008,15858.93008
56,0,56,0,15904.36057,15904.36057
57,0,57,0,15947.13066,15947.13066
58,0,58,0,15987.56173,15987.56173
59,0,59,0,16025.97517,16025.97517
60,0,60,0,16062.69235,16062.69235
