date,Position_x,Position_y,Gas Meter Flow Rate_x,Gas Meter Flow Rate_y,actual_combined_gas_flow,pred_gas_flow_x,pred_gas_flow_y,pred_combined_gas_flow
2023-03-26 00:07:00,54.16,46.23,16203.42,15296.72,31500.14,15860.697,14784.165,30644.863
2023-03-26 00:17:00,54.02,45.44,16142.199,15244.48,31386.68,15808.773,14751.823,30560.598
2023-03-26 00:27:00,54.16,45.68,16107.08,15224.02,31331.1,15838.345,14773.038,30611.383
2023-03-26 00:37:00,52.49,45.61,16339.739,15257.369,31597.11,15788.629,14760.601,30549.23
2023-03-26 00:47:00,53.8,46.289997,16158.499,15278.871,31437.371,15803.259,14790.787,30594.047
2023-03-26 00:57:00,52.67,46.09,16194.81,15243.07,31437.879,15836.043,14785.961,30622.004
2023-03-26 01:07:00,52.13,45.41,16229.831,15245.631,31475.46,15779.184,14760.201,30539.385
2023-03-26 01:17:00,54.15,45.64,16223.2705,15233.921,31457.191,15829.699,14768.328,30598.027
2023-03-26 01:27:00,52.18,45.460003,16236.279,15282.04,31518.32,15801.267,14762.762,30564.027
2023-03-26 01:37:00,52.81,45.8,16189.05,15218.011,31407.06,15807.428,14766.358,30573.785
2023-03-26 01:47:00,54.2,45.88,16209.51,15281.51,31491.02,15844.492,14781.837,30626.328
2023-03-26 01:57:00,52.41,45.47,16241.85,15198.579,31440.43,15794.267,14751.584,30545.852
2023-03-26 02:07:00,53.41,45.41,16138.379,15249.739,31388.117,15820.643,14760.962,30581.605
2023-03-26 02:17:00,52.36,46.09,16288.09,15266.319,31554.41,15808.55,14771.643,30580.191
2023-03-26 02:27:00,52.32,46.2,16255.08,15223.149,31478.23,15778.786,14791.919,30570.705
2023-03-26 02:37:00,53.260002,45.36,16276.791,15133.939,31410.73,15838.531,14756.866,30595.398
2023-03-26 02:47:00,54.02,45.53,16171.52,15244.83,31416.35,15851.174,14757.811,30608.984
2023-03-26 02:57:00,53.82,45.63,16247.421,15209.01,31456.43,15849.482,14740.617,30590.1
2023-03-26 03:07:00,53.29,45.52,16277.801,15277.08,31554.88,15813.964,14760.002,30573.965
2023-03-26 03:17:00,53.68,45.350002,16231.72,15207.209,31438.93,15850.824,14748.273,30599.098
2023-03-26 03:27:00,52.18,45.74,16207.62,15273.0,31480.621,15827.559,14769.667,30597.227
2023-03-26 03:37:00,53.68,45.510002,16328.17,15249.961,31578.13,15839.796,14756.817,30596.613
2023-03-26 03:47:00,52.26,45.87,16229.15,15190.15,31419.3,15801.384,14774.301,30575.684
2023-03-26 03:57:00,52.99,45.97,16332.94,15267.09,31600.031,15861.613,14776.556,30638.168
2023-03-26 04:07:00,52.67,45.65,16391.37,15229.601,31620.969,15826.857,14754.472,30581.328
2023-03-26 04:17:00,52.690002,46.030003,16271.36,15250.48,31521.84,15855.713,14776.755,30632.469
2023-03-26 04:27:00,52.16,46.21,16268.8,15281.699,31550.5,15864.323,14786.908,30651.23
2023-03-26 04:37:00,54.2,45.36,16256.45,15245.159,31501.61,15870.508,14752.087,30622.594
2023-03-26 04:47:00,52.21,45.54,16300.61,15269.079,31569.69,15833.885,14762.574,30596.459
2023-03-26 04:57:00,54.21,46.11,16273.329,15208.03,31481.36,15869.797,14773.976,30643.773
2023-03-26 05:07:00,54.2,45.44,16194.43,15229.909,31424.34,15885.233,14765.049,30650.281
2023-03-26 05:17:00,53.510002,45.57,16282.26,15256.16,31538.42,15862.429,14749.576,30612.004
2023-03-26 05:27:00,53.97,45.54,16270.579,15257.129,31527.707,15847.688,14752.596,30600.285
2023-03-26 05:37:00,54.2,45.84,16325.18,15295.699,31620.879,15868.487,14759.675,30628.162
2023-03-26 05:47:00,52.75,46.24,16324.879,15240.421,31565.3,15836.781,14788.837,30625.617
2023-03-26 05:57:00,52.38,46.170002,16310.69,15284.03,31594.72,15846.28,14787.104,30633.383
2023-03-26 06:07:00,52.29,45.95,16294.63,15240.921,31535.55,15842.462,14757.755,30600.217
2023-03-26 06:17:00,53.510002,45.480003,16390.12,15251.31,31641.43,15863.695,14755.458,30619.152
2023-03-26 06:27:00,53.890003,45.37,16285.08,15272.511,31557.59,15865.253,14750.398,30615.652
2023-03-26 06:37:00,52.58,46.300003,16300.46,15200.76,31501.219,15869.968,14783.319,30653.287
2023-03-26 06:47:00,52.85,45.600002,16216.08,15239.261,31455.34,15846.803,14752.663,30599.465
2023-03-26 06:57:00,52.71,46.26,16356.0205,15207.67,31563.691,15844.221,14767.274,30611.496
2023-03-26 07:07:00,53.97,45.760002,16249.7,15263.7,31513.4,15845.337,14762.049,30607.387
2023-03-26 07:17:00,53.61,46.27,16222.329,15195.56,31417.889,15881.613,14764.94,30646.555
2023-03-26 07:27:00,52.29,46.190002,16276.55,15235.219,31511.77,15822.435,14775.573,30598.008
2023-03-26 07:37:00,53.52,45.85,16240.69,15291.55,31532.24,15842.743,14749.424,30592.168
2023-03-26 07:47:00,52.43,45.74,16316.55,15213.931,31530.48,15832.952,14754.667,30587.62
2023-03-26 07:57:00,54.11,45.64,16346.5,15265.659,31612.16,15858.864,14761.411,30620.275
2023-03-26 08:07:00,53.960003,45.37,16357.899,15187.349,31545.248,15881.917,14731.827,30613.744
2023-03-26 08:17:00,52.32,45.590004,16328.45,15276.67,31605.121,15852.631,14748.348,30600.979
2023-03-26 08:27:00,52.2,46.25,16259.12,15228.461,31487.582,15859.208,14764.812,30624.02
2023-03-26 08:37:00,53.320004,46.06,16349.39,15233.319,31582.709,15883.759,14769.782,30653.541
2023-03-26 08:47:00,52.36,46.289997,16274.739,15232.289,31507.027,15830.652,14770.403,30601.055
2023-03-26 08:57:00,52.62,46.149998,16341.29,15235.51,31576.8,15850.994,14778.424,30629.418
2023-03-26 09:07:00,54.16,46.07,16200.83,15234.5,31435.33,15867.765,14768.319,30636.084
2023-03-26 09:17:00,53.47,45.41,16387.07,15211.949,31599.02,15872.357,14741.3545,30613.71
2023-03-26 09:27:00,53.14,46.31,16285.989,15255.329,31541.318,15827.357,14776.7705,30604.129
2023-03-26 09:37:00,54.2,45.38,16327.7705,15260.63,31588.4,15903.857,14742.021,30645.879
2023-03-26 09:47:00,53.52,45.579998,16289.78,15212.88,31502.66,15859.201,14751.221,30610.422
2023-03-26 09:57:00,52.24,45.38,16348.05,15291.83,31639.879,15843.144,14745.353,30588.496
2023-03-26 10:07:00,53.37,46.129997,16327.739,15254.88,31582.62,15858.949,14768.326,30627.275
2023-03-26 10:17:00,53.440002,46.23,16365.88,15211.799,31577.68,15880.815,14789.522,30670.338
2023-03-26 10:27:00,52.27,45.43,16336.759,15200.0,31536.758,15851.502,14749.648,30601.15
2023-03-26 10:37:00,52.32,45.719997,16260.79,15170.61,31431.4,15858.938,14748.166,30607.105
2023-03-26 10:47:00,53.890003,45.95,16048.22,15238.569,31286.79,15883.224,14756.614,30639.838
2023-03-26 10:57:00,54.13,45.41,16128.83,15257.16,31385.99,15863.005,14730.086,30593.09
2023-03-26 11:07:00,53.52,46.020004,16314.689,15232.541,31547.23,15782.72,14762.595,30545.314
2023-03-26 11:17:00,52.800003,45.38,16157.18,15193.181,31350.36,15786.805,14744.469,30531.273
2023-03-26 11:27:00,53.98,45.510002,16168.029,15230.34,31398.37,15859.507,14744.036,30603.543
2023-03-26 11:37:00,54.16,46.289997,16097.93,15229.42,31327.35,15819.436,14767.826,30587.262
2023-03-26 11:47:00,53.11,46.300003,16156.31,15200.089,31356.398,15804.575,14770.843,30575.418
2023-03-26 11:57:00,52.93,46.22,16138.57,15187.82,31326.39,15779.714,14772.489,30552.203
2023-03-26 12:07:00,54.02,45.82,16204.64,15199.09,31403.73,15821.083,14752.325,30573.408
2023-03-26 12:17:00,52.7,45.84,16137.4,15237.24,31374.64,15795.226,14751.295,30546.52
2023-03-26 12:27:00,53.199997,46.04,16286.53,15181.07,31467.602,15827.6045,14760.657,30588.262
2023-03-26 12:37:00,54.2,45.38,16160.83,15270.1,31430.93,15832.671,14734.956,30567.627
2023-03-26 12:47:00,52.690002,45.760002,16207.1,15244.539,31451.639,15834.342,14742.775,30577.117
2023-03-26 12:57:00,52.31,46.18,16182.439,15221.0,31403.44,15792.048,14783.266,30575.312
2023-03-26 13:07:00,52.760002,45.43,16234.96,15199.859,31434.82,15813.272,14745.649,30558.922
2023-03-26 13:17:00,54.2,46.289997,16245.9795,15211.08,31457.059,15841.491,14776.345,30617.836
