,Gas Meter Temperature_x,Line Pressure_x,Position_x,Tubing Pressure_x,Reservoir Pressure_x,Junction pressure,Gas Meter Flow Rate_x,pred_gas_flow_x,date,Gas Meter Temperature_y,Line Pressure_y,Position_y,Tubing Pressure_y,Reservoir Pressure_y,Gas Meter Flow Rate_y,pred_gas_flow_y,actual_combined_gas_flow,pred_combined_gas_flow
0,98.020004,527.06,54.16,733.77997,1233.9773,494.23862,16203.42,16374.553,2023-03-26 00:07:00,90.4,521.95,46.23,835.08,1719.6742,15296.72,15006.952,31500.14,31381.504
1,98.16,528.75,54.02,732.94006,1233.9773,495.40848,16142.199,16253.476,2023-03-26 00:17:00,90.47,522.19,45.44,834.61,1719.6742,15244.48,14989.84,31386.68,31243.316
2,98.1,527.91,54.16,730.69006,1233.9773,495.22256,16107.08,16331.1455,2023-03-26 00:27:00,90.32,523.24,45.68,836.02,1719.6742,15224.02,15040.505,31331.1,31371.65
3,98.11,526.5,52.49,732.94006,1233.9773,494.23285,16339.739,16253.123,2023-03-26 00:37:00,90.38,522.07,45.61,835.66,1719.6742,15257.369,15017.368,31597.11,31270.492
4,98.18,525.94,53.8,731.81006,1233.9773,494.25616,16158.499,16250.464,2023-03-26 00:47:00,90.45,522.42,46.289997,834.14,1719.6742,15278.871,15012.483,31437.371,31262.947
5,98.27,528.75,52.67,735.74994,1233.9773,495.18054,16194.81,16419.527,2023-03-26 00:57:00,90.57,522.77,46.09,835.43005,1719.6742,15243.07,15025.959,31437.879,31445.486
6,98.24,526.77997,52.13,733.50006,1233.9773,493.97226,16229.831,16262.823,2023-03-26 01:07:00,90.46,521.48004,45.41,836.02,1719.6742,15245.631,15044.911,31475.46,31307.734
7,98.24,527.33997,54.15,733.50006,1233.9773,494.33978,16223.2705,16320.035,2023-03-26 01:17:00,90.43,521.72003,45.64,834.73,1719.6742,15233.921,15025.503,31457.191,31345.54
8,98.24,526.77997,52.18,734.33997,1233.9773,493.61356,16236.279,16327.574,2023-03-26 01:27:00,90.45,520.89996,45.460003,834.61,1719.6742,15282.04,15035.128,31518.32,31362.703
9,98.26,528.19,52.81,734.05994,1233.9773,494.62103,16189.05,16319.603,2023-03-26 01:37:00,90.39,521.60004,45.8,836.02,1719.6742,15218.011,15008.758,31407.06,31328.36
