date,Position_x,Position_y,Gas Meter Flow Rate_x,Gas Meter Flow Rate_y,actual_combined_gas_flow,pred_gas_flow_x,pred_gas_flow_y,pred_combined_gas_flow
2023-03-26 00:07:00,54.16,46.23,16203.42,15296.72,31500.14,16183.906,15089.567,31273.473
2023-03-26 00:17:00,54.02,45.44,16142.199,15244.48,31386.68,16074.154,15066.036,31140.191
2023-03-26 00:27:00,54.16,45.68,16107.08,15224.02,31331.1,16142.81,15107.097,31249.906
2023-03-26 00:37:00,52.49,45.61,16339.739,15257.369,31597.11,16069.685,15091.422,31161.105
2023-03-26 00:47:00,53.8,46.289997,16158.499,15278.871,31437.371,16071.971,15098.946,31170.918
2023-03-26 00:57:00,52.67,46.09,16194.81,15243.07,31437.879,16224.09,15107.027,31331.117
2023-03-26 01:07:00,52.13,45.41,16229.831,15245.631,31475.46,16082.707,15116.192,31198.898
2023-03-26 01:17:00,54.15,45.64,16223.2705,15233.921,31457.191,16139.85,15101.572,31241.422
2023-03-26 01:27:00,52.18,45.460003,16236.279,15282.04,31518.32,16140.447,15111.327,31251.773
2023-03-26 01:37:00,52.81,45.8,16189.05,15218.011,31407.06,16137.797,15083.124,31220.922
2023-03-26 01:47:00,54.2,45.88,16209.51,15281.51,31491.02,16174.461,15129.727,31304.188
2023-03-26 01:57:00,52.41,45.47,16241.85,15198.579,31440.43,16107.652,15085.298,31192.95
2023-03-26 02:07:00,53.41,45.41,16138.379,15249.739,31388.117,16146.983,15119.119,31266.102
2023-03-26 02:17:00,52.36,46.09,16288.09,15266.319,31554.41,16153.777,15068.869,31222.646
2023-03-26 02:27:00,52.32,46.2,16255.08,15223.149,31478.23,16072.301,15107.444,31179.746
2023-03-26 02:37:00,53.260002,45.36,16276.791,15133.939,31410.73,16200.507,15102.346,31302.852
2023-03-26 02:47:00,54.02,45.53,16171.52,15244.83,31416.35,16191.431,15090.649,31282.08
2023-03-26 02:57:00,53.82,45.63,16247.421,15209.01,31456.43,16203.585,15027.128,31230.713
2023-03-26 03:07:00,53.29,45.52,16277.801,15277.08,31554.88,16096.672,15087.495,31184.168
2023-03-26 03:17:00,53.68,45.350002,16231.72,15207.209,31438.93,16185.2,15078.031,31263.23
2023-03-26 03:27:00,52.18,45.74,16207.62,15273.0,31480.621,16161.742,15096.563,31258.305
2023-03-26 03:37:00,53.68,45.510002,16328.17,15249.961,31578.13,16138.903,15071.555,31210.457
2023-03-26 03:47:00,52.26,45.87,16229.15,15190.15,31419.3,16080.693,15088.405,31169.098
2023-03-26 03:57:00,52.99,45.97,16332.94,15267.09,31600.031,16218.493,15093.354,31311.848
2023-03-26 04:07:00,52.67,45.65,16391.37,15229.601,31620.969,16145.741,15055.332,31201.074
2023-03-26 04:17:00,52.690002,46.030003,16271.36,15250.48,31521.84,16212.172,15089.334,31301.506
2023-03-26 04:27:00,52.16,46.21,16268.8,15281.699,31550.5,16248.304,15088.109,31336.414
2023-03-26 04:37:00,54.2,45.36,16256.45,15245.159,31501.61,16182.344,15080.329,31262.672
2023-03-26 04:47:00,52.21,45.54,16300.61,15269.079,31569.69,16150.048,15091.597,31241.645
2023-03-26 04:57:00,54.21,46.11,16273.329,15208.03,31481.36,16166.191,15069.449,31235.64
2023-03-26 05:07:00,54.2,45.44,16194.43,15229.909,31424.34,16201.017,15102.738,31303.754
2023-03-26 05:17:00,53.510002,45.57,16282.26,15256.16,31538.42,16156.466,15053.554,31210.02
2023-03-26 05:27:00,53.97,45.54,16270.579,15257.129,31527.707,16103.213,15057.351,31160.562
2023-03-26 05:37:00,54.2,45.84,16325.18,15295.699,31620.879,16156.872,15085.14,31242.012
2023-03-26 05:47:00,52.75,46.24,16324.879,15240.421,31565.3,16128.364,15117.57,31245.934
2023-03-26 05:57:00,52.38,46.170002,16310.69,15284.03,31594.72,16160.615,15124.015,31284.629
2023-03-26 06:07:00,52.29,45.95,16294.63,15240.921,31535.55,16149.819,15070.816,31220.637
2023-03-26 06:17:00,53.510002,45.480003,16390.12,15251.31,31641.43,16163.2295,15100.935,31264.164
2023-03-26 06:27:00,53.890003,45.37,16285.08,15272.511,31557.59,16160.585,15094.958,31255.543
