date,Position_x,Position_y,Gas Meter Flow Rate_x,Gas Meter Flow Rate_y,actual_combined_gas_flow,pred_gas_flow_x,pred_gas_flow_y,pred_combined_gas_flow
2023-03-26 00:07:00,54.16,46.23,16260.9,15223.68,31484.58,16194.831,15243.612,31438.443
2023-03-26 00:17:00,54.02,45.44,16132.45,15195.81,31328.260000000002,16202.62,15253.257,31455.877
2023-03-26 00:27:00,54.16,45.68,16203.42,15296.72,31500.14,16199.889,15248.544,31448.434
2023-03-26 00:37:00,52.49,45.61,16142.2,15244.48,31386.68,16214.314,15233.713,31448.027
2023-03-26 00:47:00,53.8,46.29,16107.08,15224.02,31331.1,16217.549,15243.643,31461.191
2023-03-26 00:57:00,52.67,46.09,16339.74,15257.37,31597.11,16216.925,15241.361,31458.285
2023-03-26 01:07:00,52.13,45.41,16158.5,15278.87,31437.370000000003,16213.122,15249.462,31462.584
2023-03-26 01:17:00,54.15,45.64,16194.81,15243.07,31437.879999999997,16214.553,15230.538,31445.09
2023-03-26 01:27:00,52.18,45.46,16229.83,15245.63,31475.46,16206.172,15230.555,31436.727
2023-03-26 01:37:00,52.81,45.8,16223.27,15233.92,31457.190000000002,16210.042,15234.086,31444.129
2023-03-26 01:47:00,54.2,45.88,16236.28,15282.04,31518.32,16222.401,15239.155,31461.557
2023-03-26 01:57:00,52.41,45.47,16189.05,15218.01,31407.059999999998,16244.5625,15203.899,31448.46
2023-03-26 02:07:00,53.41,45.41,16209.51,15281.51,31491.02,16236.676,15189.27,31425.945
2023-03-26 02:17:00,52.36,46.09,16241.85,15198.58,31440.43,16235.333,15193.157,31428.49
2023-03-26 02:27:00,52.32,46.2,16138.38,15249.74,31388.12,16236.784,15233.142,31469.926
2023-03-26 02:37:00,53.26,45.36,16288.09,15266.32,31554.41,16244.545,15230.83,31475.375
2023-03-26 02:47:00,54.02,45.53,16255.08,15223.15,31478.23,16236.324,15237.789,31474.113
2023-03-26 02:57:00,53.82,45.63,16276.79,15133.94,31410.730000000003,16246.838,15237.957,31484.795
