date,Position_x,Position_y,Gas Meter Flow Rate_x,Gas Meter Flow Rate_y,actual_combined_gas_flow,pred_gas_flow_x,pred_gas_flow_y,pred_combined_gas_flow
2023-03-26 00:07:00,54.16,46.23,16260.9,15223.68,31484.58,16218.16,15280.956,31499.117
2023-03-26 00:17:00,54.02,45.44,16132.45,15195.81,31328.260000000002,16213.016,15280.718,31493.734
2023-03-26 00:27:00,54.16,45.68,16203.42,15296.72,31500.14,16227.371,15281.655,31509.027
2023-03-26 00:37:00,52.49,45.61,16142.2,15244.48,31386.68,16232.941,15275.1045,31508.047
2023-03-26 00:47:00,53.8,46.29,16107.08,15224.02,31331.1,16246.055,15283.861,31529.916
2023-03-26 00:57:00,52.67,46.09,16339.74,15257.37,31597.11,16250.76,15276.586,31527.346
2023-03-26 01:07:00,52.13,45.41,16158.5,15278.87,31437.370000000003,16237.364,15283.706,31521.07
2023-03-26 01:17:00,54.15,45.64,16194.81,15243.07,31437.879999999997,16248.997,15269.343,31518.34
2023-03-26 01:27:00,52.18,45.46,16229.83,15245.63,31475.46,16235.358,15271.191,31506.55
2023-03-26 01:37:00,52.81,45.8,16223.27,15233.92,31457.190000000002,16248.345,15276.734,31525.078
2023-03-26 01:47:00,54.2,45.88,16236.28,15282.04,31518.32,16255.52,15271.297,31526.816
2023-03-26 01:57:00,52.41,45.47,16189.05,15218.01,31407.059999999998,16265.697,15243.41,31509.107
2023-03-26 02:07:00,53.41,45.41,16209.51,15281.51,31491.02,16258.785,15249.562,31508.348
2023-03-26 02:17:00,52.36,46.09,16241.85,15198.58,31440.43,16264.744,15243.802,31508.547
2023-03-26 02:27:00,52.32,46.2,16138.38,15249.74,31388.12,16273.553,15258.68,31532.232
2023-03-26 02:37:00,53.26,45.36,16288.09,15266.32,31554.41,16281.595,15252.066,31533.66
2023-03-26 02:47:00,54.02,45.53,16255.08,15223.15,31478.23,16269.313,15262.0,31531.312
2023-03-26 02:57:00,53.82,45.63,16276.79,15133.94,31410.730000000003,16285.515,15267.708,31553.223
2023-03-26 03:07:00,53.29,45.52,16171.52,15244.83,31416.35,16280.046,15261.546,31541.592
2023-03-26 03:17:00,53.68,45.35,16247.42,15209.01,31456.43,16304.895,15269.072,31573.967
2023-03-26 03:27:00,52.18,45.74,16277.8,15277.08,31554.879999999997,16332.639,15267.998,31600.637
2023-03-26 03:37:00,53.68,45.51,16231.72,15207.21,31438.93,16332.2705,15268.808,31601.078
2023-03-26 03:47:00,52.26,45.87,16207.62,15273.0,31480.620000000003,16335.161,15280.124,31615.285
2023-03-26 03:57:00,52.99,45.97,16328.17,15249.96,31578.129999999997,16336.216,15277.89,31614.105
2023-03-26 04:07:00,52.67,45.65,16229.15,15190.15,31419.3,16333.73,15283.155,31616.887
2023-03-26 04:17:00,52.69,46.03,16332.94,15267.09,31600.03,16334.9,15275.486,31610.387
2023-03-26 04:27:00,52.16,46.21,16391.37,15229.6,31620.97,16309.641,15270.461,31580.102
2023-03-26 04:37:00,54.2,45.36,16271.36,15250.48,31521.84,16298.998,15274.272,31573.27
2023-03-26 04:47:00,52.21,45.54,16268.8,15281.7,31550.5,16299.528,15276.385,31575.914
2023-03-26 04:57:00,54.21,46.11,16256.45,15245.16,31501.61,16311.2295,15286.046,31597.275
2023-03-26 05:07:00,54.2,45.44,16300.61,15269.08,31569.690000000002,16323.562,15282.887,31606.45
2023-03-26 05:17:00,53.51,45.57,16273.33,15208.03,31481.36,16328.606,15289.815,31618.422
2023-03-26 05:27:00,53.97,45.54,16194.43,15229.91,31424.34,16333.116,15288.25,31621.367
2023-03-26 05:37:00,54.2,45.84,16282.26,15256.16,31538.42,16363.286,15287.796,31651.082
2023-03-26 05:47:00,52.75,46.24,16270.58,15257.13,31527.71,16361.321,15291.049,31652.371
2023-03-26 05:57:00,52.38,46.17,16325.18,15295.7,31620.88,16362.672,15276.401,31639.074
2023-03-26 06:07:00,52.29,45.95,16324.88,15240.42,31565.3,16341.222,15271.693,31612.914
2023-03-26 06:17:00,53.51,45.48,16310.69,15284.03,31594.72,16348.883,15263.024,31611.906
2023-03-26 06:27:00,53.89,45.37,16294.63,15240.92,31535.55,16336.623,15267.176,31603.799
2023-03-26 06:37:00,52.58,46.3,16390.12,15251.31,31641.43,16320.674,15256.635,31577.309
2023-03-26 06:47:00,52.85,45.6,16285.08,15272.51,31557.59,16307.972,15256.665,31564.637
2023-03-26 06:57:00,52.71,46.26,16300.46,15200.76,31501.22,16300.135,15269.8545,31569.988
2023-03-26 07:07:00,53.97,45.76,16216.08,15239.26,31455.34,16306.725,15265.724,31572.45
2023-03-26 07:17:00,53.61,46.27,16356.02,15207.67,31563.690000000002,16327.078,15272.564,31599.643
2023-03-26 07:27:00,52.29,46.19,16249.7,15263.7,31513.4,16335.938,15261.116,31597.055
2023-03-26 07:37:00,53.52,45.85,16222.33,15195.56,31417.89,16349.337,15270.249,31619.586
2023-03-26 07:47:00,52.43,45.74,16276.55,15235.22,31511.769999999997,16349.727,15269.528,31619.254
2023-03-26 07:57:00,54.11,45.64,16240.69,15291.55,31532.239999999998,16361.919,15267.49,31629.41
2023-03-26 08:07:00,53.96,45.37,16316.55,15213.93,31530.48,16360.911,15263.411,31624.322
2023-03-26 08:17:00,52.32,45.59,16346.5,15265.66,31612.16,16364.848,15264.536,31629.383
2023-03-26 08:27:00,52.2,46.25,16357.9,15187.35,31545.25,16337.714,15263.017,31600.73
2023-03-26 08:37:00,53.32,46.06,16328.45,15276.67,31605.120000000003,16348.773,15259.687,31608.46
2023-03-26 08:47:00,52.36,46.29,16259.12,15228.46,31487.58,16343.116,15263.093,31606.209
2023-03-26 08:57:00,52.62,46.15,16349.39,15233.32,31582.71,16352.43,15269.758,31622.188
2023-03-26 09:07:00,54.16,46.07,16274.74,15232.29,31507.03,16345.003,15263.589,31608.592
2023-03-26 09:17:00,53.47,45.41,16341.29,15235.51,31576.800000000003,16357.073,15277.265,31634.338
2023-03-26 09:27:00,53.14,46.31,16200.83,15234.5,31435.33,16358.332,15279.939,31638.271
2023-03-26 09:37:00,54.2,45.38,16387.07,15211.95,31599.02,16379.88,15271.772,31651.652
2023-03-26 09:47:00,53.52,45.58,16285.99,15255.33,31541.32,16376.1455,15262.878,31639.023
2023-03-26 09:57:00,52.24,45.38,16327.77,15260.63,31588.4,16367.184,15246.361,31613.545
2023-03-26 10:07:00,53.37,46.13,16289.78,15212.88,31502.66,16311.731,15248.672,31560.402
2023-03-26 10:17:00,53.44,46.23,16348.05,15291.83,31639.879999999997,16277.704,15257.022,31534.727
2023-03-26 10:27:00,52.27,45.43,16327.74,15254.88,31582.62,16276.884,15254.549,31531.434
2023-03-26 10:37:00,52.32,45.72,16365.88,15211.8,31577.68,16248.65,15245.566,31494.217
2023-03-26 10:47:00,53.89,45.95,16336.76,15200.0,31536.760000000002,16222.116,15249.385,31471.5
2023-03-26 10:57:00,54.13,45.41,16260.79,15170.61,31431.4,16188.95,15253.034,31441.984
2023-03-26 11:07:00,53.52,46.02,16048.22,15238.57,31286.79,16178.3955,15249.695,31428.09
2023-03-26 11:17:00,52.8,45.38,16128.83,15257.16,31385.989999999998,16184.64,15240.38,31425.02
2023-03-26 11:27:00,53.98,45.51,16314.69,15232.54,31547.230000000003,16194.131,15234.819,31428.95
2023-03-26 11:37:00,54.16,46.29,16157.18,15193.18,31350.36,16173.689,15240.852,31414.541
2023-03-26 11:47:00,53.11,46.3,16168.03,15230.34,31398.370000000003,16199.975,15234.189,31434.164
2023-03-26 11:57:00,52.93,46.22,16097.93,15229.42,31327.35,16199.887,15247.966,31447.852
2023-03-26 12:07:00,54.02,45.82,16156.31,15200.09,31356.4,16214.706,15254.01,31468.715
2023-03-26 12:17:00,52.7,45.84,16138.57,15187.82,31326.39,16217.567,15254.79,31472.357
2023-03-26 12:27:00,53.2,46.04,16204.64,15199.09,31403.73,16231.511,15250.797,31482.309
2023-03-26 12:37:00,54.2,45.38,16137.4,15237.24,31374.64,16240.335,15249.324,31489.66
2023-03-26 12:47:00,52.69,45.76,16286.53,15181.07,31467.6,16240.431,15234.54,31474.97
2023-03-26 12:57:00,52.31,46.18,16160.83,15270.1,31430.93,16216.825,15233.007,31449.832
2023-03-26 13:07:00,52.76,45.43,16207.1,15244.54,31451.64,16235.048,15230.59,31465.637
2023-03-26 13:17:00,54.2,46.29,16182.44,15221.0,31403.440000000002,16228.057,15232.308,31460.363
2023-03-26 13:27:00,53.29,46.27,16234.96,15199.86,31434.82,16239.055,15232.727,31471.781
2023-03-26 13:37:00,54.07,45.46,16245.98,15211.08,31457.059999999998,16242.769,15228.795,31471.562
2023-03-26 13:47:00,52.74,45.57,16175.4,15161.52,31336.92,16220.059,15236.39,31456.45
2023-03-26 13:57:00,53.86,45.74,16127.31,15198.4,31325.71,16221.8125,15238.108,31459.922
2023-03-26 14:07:00,53.34,45.56,16271.0,15210.63,31481.629999999997,16260.69,15237.244,31497.934
2023-03-26 14:17:00,52.48,46.19,16170.4,15219.4,31389.8,16257.883,15244.312,31502.195
2023-03-26 14:27:00,52.95,46.21,16250.95,15208.99,31459.940000000002,16258.873,15238.678,31497.55
2023-03-26 14:37:00,53.93,46.14,16240.12,15186.15,31426.27,16247.718,15244.957,31492.676
2023-03-26 14:47:00,52.49,45.54,16108.4,15232.78,31341.18,16260.908,15233.306,31494.215
2023-03-26 14:57:00,53.92,46.24,16193.86,15204.24,31398.1,16276.636,15241.385,31518.02
2023-03-26 15:07:00,53.89,45.67,16361.97,15203.94,31565.91,16281.123,15245.685,31526.809
2023-03-26 15:17:00,54.13,45.43,16229.15,15239.11,31468.260000000002,16273.188,15228.628,31501.816
2023-03-26 15:27:00,54.21,45.92,16200.62,15191.76,31392.38,16264.54,15239.836,31504.375
2023-03-26 15:37:00,54.06,46.15,16179.29,15235.83,31415.120000000003,16277.321,15245.575,31522.896
2023-03-26 15:47:00,53.02,45.8,16291.2,15160.98,31452.18,16281.607,15253.713,31535.32
2023-03-26 15:57:00,52.55,46.3,16248.25,15245.4,31493.65,16264.606,15248.969,31513.574
2023-03-26 16:07:00,54.21,46.07,16246.76,15228.38,31475.14,16248.051,15233.769,31481.82
2023-03-26 16:17:00,53.57,45.53,16261.59,15143.39,31404.98,16248.597,15217.819,31466.416
2023-03-26 16:27:00,53.28,45.43,16185.5,15256.37,31441.870000000003,16247.97,15223.927,31471.896
2023-03-26 16:37:00,52.68,46.13,16280.65,15230.45,31511.1,16269.061,15221.075,31490.137
2023-03-26 16:47:00,53.95,45.59,16235.2,15253.48,31488.68,16279.211,15225.071,31504.281
2023-03-26 16:57:00,53.94,45.78,16184.93,15191.62,31376.550000000003,16285.319,15222.952,31508.271
2023-03-26 17:07:00,52.24,45.54,16160.39,15161.29,31321.68,16312.372,15225.5,31537.871
2023-03-26 17:17:00,54.16,45.89,16240.63,15141.82,31382.449999999997,16318.439,15215.02,31533.459
2023-03-26 17:27:00,53.84,45.76,16237.96,15209.42,31447.379999999997,16350.168,15211.977,31562.145
2023-03-26 17:37:00,52.86,45.41,16310.84,15199.27,31510.11,16350.503,15209.303,31559.805
2023-03-26 17:48:00,53.37,45.39,16303.47,15220.47,31523.94,16351.829,15213.711,31565.54
2023-03-26 17:57:00,53.58,45.38,16259.62,15198.68,31458.300000000003,16349.864,15205.424,31555.29
2023-03-26 18:07:00,53.3,45.38,16343.9,15201.98,31545.879999999997,16349.704,15204.872,31554.576
2023-03-26 18:17:00,52.64,46.19,16240.6,15142.82,31383.42,16313.884,15206.771,31520.656
2023-03-26 18:27:00,54.21,46.07,16416.39,15165.91,31582.3,16328.651,15211.643,31540.293
2023-03-26 18:37:00,53.42,45.72,16269.81,15179.4,31449.21,16298.301,15207.211,31505.512
2023-03-26 18:47:00,52.42,45.43,16312.83,15205.71,31518.54,16303.244,15203.182,31506.426
2023-03-26 18:57:00,54.15,46.26,16293.81,15158.82,31452.629999999997,16290.945,15208.67,31499.615
2023-03-26 19:07:00,53.35,45.69,16284.43,15180.12,31464.550000000003,16278.559,15213.809,31492.367
2023-03-26 19:17:00,54.18,45.8,16148.36,15188.01,31336.370000000003,16295.115,15225.134,31520.25
2023-03-26 19:27:00,52.22,46.27,16346.02,15190.53,31536.550000000003,16300.08,15230.982,31531.062
2023-03-26 19:37:00,53.86,45.58,16202.34,15161.0,31363.34,16307.646,15231.58,31539.227
