date,Position_x,Position_y,Gas Meter Flow Rate_x,Gas Meter Flow Rate_y,actual_combined_gas_flow,pred_gas_flow_x,pred_gas_flow_y,pred_combined_gas_flow
2023-03-26 00:07:00,54.16,46.23,16260.9,15223.68,31484.58,16229.607,15357.301,31586.908
2023-03-26 00:17:00,54.02,45.44,16132.45,15195.81,31328.260000000002,16220.673,15341.279,31561.953
2023-03-26 00:27:00,54.16,45.68,16203.42,15296.72,31500.14,16230.707,15335.119,31565.826
2023-03-26 00:37:00,52.49,45.61,16142.2,15244.48,31386.68,16238.22,15325.987,31564.207
2023-03-26 00:47:00,53.8,46.29,16107.08,15224.02,31331.1,16247.086,15354.658,31601.744
2023-03-26 00:57:00,52.67,46.09,16339.74,15257.37,31597.11,16232.0205,15324.478,31556.498
2023-03-26 01:07:00,52.13,45.41,16158.5,15278.87,31437.370000000003,16227.735,15352.148,31579.883
2023-03-26 01:17:00,54.15,45.64,16194.81,15243.07,31437.879999999997,16241.051,15310.655,31551.707
2023-03-26 01:27:00,52.18,45.46,16229.83,15245.63,31475.46,16208.195,15325.762,31533.957
2023-03-26 01:37:00,52.81,45.8,16223.27,15233.92,31457.190000000002,16243.61,15345.848,31589.457
2023-03-26 01:47:00,54.2,45.88,16236.28,15282.04,31518.32,16264.95,15324.137,31589.086
2023-03-26 01:57:00,52.41,45.47,16189.05,15218.01,31407.059999999998,16282.794,15254.926,31537.719
2023-03-26 02:07:00,53.41,45.41,16209.51,15281.51,31491.02,16246.677,15301.958,31548.635
2023-03-26 02:17:00,52.36,46.09,16241.85,15198.58,31440.43,16247.2295,15301.981,31549.21
2023-03-26 02:27:00,52.32,46.2,16138.38,15249.74,31388.12,16269.296,15343.299,31612.594
2023-03-26 02:37:00,53.26,45.36,16288.09,15266.32,31554.41,16265.986,15313.678,31579.664
2023-03-26 02:47:00,54.02,45.53,16255.08,15223.15,31478.23,16248.449,15342.318,31590.768
2023-03-26 02:57:00,53.82,45.63,16276.79,15133.94,31410.730000000003,16287.388,15341.124,31628.512
2023-03-26 03:07:00,53.29,45.52,16171.52,15244.83,31416.35,16279.372,15299.283,31578.656
2023-03-26 03:17:00,53.68,45.35,16247.42,15209.01,31456.43,16308.549,15333.337,31641.887
2023-03-26 03:27:00,52.18,45.74,16277.8,15277.08,31554.879999999997,16359.344,15325.403,31684.746
2023-03-26 03:37:00,53.68,45.51,16231.72,15207.21,31438.93,16340.378,15333.223,31673.602
2023-03-26 03:47:00,52.26,45.87,16207.62,15273.0,31480.620000000003,16312.975,15357.811,31670.785
