date,Position_x,Position_y,Gas Meter Flow Rate_x,Gas Meter Flow Rate_y,actual_combined_gas_flow,pred_gas_flow_x,pred_gas_flow_y,pred_combined_gas_flow
2023-03-26 00:07:00,54.16,46.23,16260.9,15223.68,31484.58,16218.514,15279.129,31497.643
2023-03-26 00:17:00,54.02,45.44,16132.45,15195.81,31328.260000000002,16218.464,15258.048,31476.512
2023-03-26 00:27:00,54.16,45.68,16203.42,15296.72,31500.14,16228.362,15250.685,31479.047
2023-03-26 00:37:00,52.49,45.61,16142.2,15244.48,31386.68,16235.053,15241.398,31476.451
2023-03-26 00:47:00,53.8,46.29,16107.08,15224.02,31331.1,16243.667,15277.082,31520.75
2023-03-26 00:57:00,52.67,46.09,16339.74,15257.37,31597.11,16236.94,15240.493,31477.434
2023-03-26 01:07:00,52.13,45.41,16158.5,15278.87,31437.370000000003,16232.722,15272.742,31505.465
2023-03-26 01:17:00,54.15,45.64,16194.81,15243.07,31437.879999999997,16240.928,15223.614,31464.543
2023-03-26 01:27:00,52.18,45.46,16229.83,15245.63,31475.46,16220.036,15244.131,31464.168
2023-03-26 01:37:00,52.81,45.8,16223.27,15233.92,31457.190000000002,16239.727,15268.989,31508.715
2023-03-26 01:47:00,54.2,45.88,16236.28,15282.04,31518.32,16254.159,15241.223,31495.383
2023-03-26 01:57:00,52.41,45.47,16189.05,15218.01,31407.059999999998,16270.744,15161.062,31431.805
2023-03-26 02:07:00,53.41,45.41,16209.51,15281.51,31491.02,16254.243,15225.085,31479.328
2023-03-26 02:17:00,52.36,46.09,16241.85,15198.58,31440.43,16255.152,15226.875,31482.027
2023-03-26 02:27:00,52.32,46.2,16138.38,15249.74,31388.12,16267.297,15271.313,31538.61
2023-03-26 02:37:00,53.26,45.36,16288.09,15266.32,31554.41,16267.013,15229.425,31496.438
2023-03-26 02:47:00,54.02,45.53,16255.08,15223.15,31478.23,16256.205,15260.679,31516.883
2023-03-26 02:57:00,53.82,45.63,16276.79,15133.94,31410.730000000003,16280.127,15258.575,31538.703
2023-03-26 03:07:00,53.29,45.52,16171.52,15244.83,31416.35,16277.686,15210.463,31488.148
2023-03-26 03:17:00,53.68,45.35,16247.42,15209.01,31456.43,16300.434,15254.044,31554.477
2023-03-26 03:27:00,52.18,45.74,16277.8,15277.08,31554.879999999997,16337.939,15245.806,31583.746
2023-03-26 03:37:00,53.68,45.51,16231.72,15207.21,31438.93,16335.8955,15252.948,31588.844
2023-03-26 03:47:00,52.26,45.87,16207.62,15273.0,31480.620000000003,16325.37,15280.131,31605.5
2023-03-26 03:57:00,52.99,45.97,16328.17,15249.96,31578.129999999997,16310.742,15258.862,31569.605
2023-03-26 04:07:00,52.67,45.65,16229.15,15190.15,31419.3,16310.19,15267.553,31577.742
2023-03-26 04:17:00,52.69,46.03,16332.94,15267.09,31600.03,16306.252,15227.478,31533.73
